Chemicalsymbol|Name|No.|Atomicmass|Densityat20°C|Meltingpoint°C|Boilingpoint°C|Yearofdiscovery|Discoverer|Description|Uses of Element|State at STP|occurrence_value|group_number|period_number
Si|Silicon|14|28,0855g/mol|2,33g/cm3|1410°C|2355°C|1824|Berzelius|hard metalloid|quartz, granite, sand, soil,clay,°Ceramics, glass, algae,diatoms, semiconductors,computer chips, silicone rubber|Solid|Primordial|14|3
P|Phosphorus|15|30,973762g/mol|1,82g/cm3|44(P4)°C|280(P4)°C|1669|Brandt|glowing white waxy solid (also red and black forms)|bones, DNA, energy-storing phosphates (ATP),fertilizer, acids,detergents, matches|Solid|Primordial|15|3
S|Sulphur|16|32,066g/mol|2,06g/cm3|113°C|444,7°C|prehistoric|unknown|brittle yellow solid|skin, hair, egg yolks, onions,garlic, skunks, hot springs,volcanos, gypsum, rubber,acids, papermaking|Solid|Primordial|16|3
Cl|Chlorine|17|35,4527g/mol|2,95g/l|-34,6°C|-101°C|1774|Scheele|greenish poison gas|salt (NaCl), bleach, stomach acid, disinfectant, drinking water, swimming pools, PVC plastic pipes and bottles|Gas|Primordial|17|3
Ar|Argon|18|39,948g/mol|1,66g/l|-189,4°C|-185,9°C|1894|RamsayandRayleigh|inert gas|"1% of air, most abundant inert gas on earth, light bulbs, ""neon"" tubes, lasers,welding gas"|Gas|Primordial|18|3
K|Potassium|19|39,0983g/mol|0,86g/cm3|63,7°C|774°C|1807|Davy|soft metal, reactive|salts, nerves, nutrient in fruits and vegetables, soap,fertilizer, potash, matches,gunpowder|Solid|Primordial|1|4
Ca|Calcium|20|40,078g/mol|1,54g/cm3|839°C|1487°C|1808|Davy|soft metal|bones, teeth, milk, leaves,vegetables, shells,°Coral,limestone,°Chalk, gypsum,plaster, mortar,°Cement,marble, antacids|Solid|Primordial|2|4
Sc|Scandium|21|44,95591g/mol|2,99g/cm3|1539°C|2832°C|1879|Nilson|soft lightweight metal|aluminum alloys, racing bikes, stadium lamps,furnace bricks, aquamarines|Solid|Primordial|3|4
Ti|Titanium|22|47,88g/mol|4,51g/cm3|1660°C|3260°C|1791|GregorandKlaproth|strongest lightweight metal, heat-resistant|aerospace, racing bikes,artificial joints, white paint, blue sapphires|Solid|Primordial|4|4
V|Vanadium|23|50,9415g/mol|6,09g/cm3|1890°C|3380°C|1801|delRio|hard metal|hard strong resilient steel,structures, vehicles,springs, driveshafts, tools,aerospace, violet sapphires|Solid|Primordial|5|4
Cr|Chromium|24|51,9961g/mol|7,14g/cm3|1857°C|2482°C|1797|Vauquelin|hard shiny metal|stainless steel (Fe-Cr-Ni),kitchenware, nichrome heaters,°Car trim, paints,recording tape, emeralds and rubies|Solid|Primordial|6|4
Mn|Manganese|25|54,93805g/mol|7,44g/cm3|1244°C|2097°C|1774|Gahn|hard metal|hard tough steel,earthmovers, rock crushers, rails, plows, axes,batteries, fertilizer,amethysts|Solid|Primordial|7|4
Fe|Iron|26|55,847g/mol|7,87g/cm3|1535°C|2750°C|prehistoric|unknown|medium-hard metal, magnetic|steel alloys are mostly iron,structures, vehicles,magnets, earth's core, red rocks, blood|Solid|Primordial|8|4
Co|Cobalt|27|58,9332g/mol|8,89g/cm3|1495°C|2870°C|1735|Brandt|hard metal, magnetic|hard strong steel,°Cutting tools, turbines, magnets (Al-Ni-Co), blue glass and ceramics, vitamin B-12|Solid|Primordial|9|4
Ni|Nickel|28|58,69g/mol|8,91g/cm3|1453°C|2732°C|1751|Cronstedt|medium-hard metal, magnetic|stainless steel (Fe-Cr-Ni),kitchenware, nichrome heaters,°Coins, nicad batteries, earth's core|Solid|Primordial|10|4
Cu|Copper|29|63,546g/mol|8,92g/cm3|1083,5°C|2595°C|prehistoric|unknown|colored metal, conducts heat and electricity well|wires,°Cookware, brass (Cu-Zn), bronze (Cu-Sn),°Coins,pipes, blue crab blood|Solid|Primordial|11|4
Zn|Zinc|30|65,39g/mol|7,14g/cm3|419,6°C|907°C|prehistoric|unknown|non-corroding metal|galvanized steel, brass (Cu-Zn), batteries, white paint,phosphors in TVs and lamps,fertilizer|Solid|Primordial|12|4
Ga|Gallium|31|69,723g/mol|5,91g/cm3|29,8°C|2403°C|1875|LecoqdeBoiskaudran|soft metal, melts on a hot day|semiconductors, light-emitting diodes (LEDs) (GaAs), signal lights, tiny lasers|Solid|Primordial|13|4
Ge|Germanium|32|72,61g/mol|5,32g/cm3|937,4°C|2830°C|1886|Winkler|brittle metalloid|semiconductors,transistors, rectifiers,diodes, photocells, lenses,infrared windows|Solid|Primordial|14|4
As|Arsenic|33|74,92159g/mol|5,72g/cm3|613°C|613(Subl.)°C|ca.1250|AlbertusMagnus|brittle metalloid|poisons, semiconductors,light-emitting diodes (LEDs) (GaAs), signal lights,tiny lasers|Solid|Primordial|15|4
Se|Selenium|34|78,96g/mol|4,82g/cm3|217°C|685°C|1817|Berzelius|brittle gray solid|semiconductors,photocopiers, laser printers, photocells, red glass, dandruff shampoo,rubber|Solid|Primordial|16|4
Br|Bromine|35|79,904g/mol|3,14g/cm3|-7,3°C|58,8°C|1826|Balard|dark red liquid|disinfectant, pools and spas, photo film, flame retardant, leaded gas,sedatives|Liquid|Primordial|17|4
Kr|Krypton|36|83,8g/mol|3,48g/l|-156,6°C|-152,3°C|1898|RamsayandTravers|inert gas|"high-intensity lamps,headlights, flashlights,lanterns, ""neon"" tubes,lasers"|Gas|Primordial|18|4
Rb|Rubidium|37|85,4678g/mol|1,53g/cm3|39°C|688°C|1861|BunsenandKirchhoff|soft metal, reactive|atomic clocks, global navigation (GPS), vacuum tube scavenger|Solid|Primordial|1|5
Sr|Strontium|38|87,62g/mol|2,63g/cm3|769°C|1384°C|1790|Crawford|soft metal|red fireworks, flares,phosphors, nuclear batteries, medical diagnostic tracer, nuclear fallout|Solid|Primordial|2|5
Y|Yttrium|39|88,90585g/mol|4,47g/cm3|1523°C|3337°C|1794|Gadolin|soft metal|phosphors in color TVs,lasers (YAG, YLF), furnace bricks, high-temperature superconductors|Solid|Primordial|3|5
Zr|Zirconium|40|91,224g/mol|6,51g/cm3|1852°C|4377°C|1789|Klaproth|non-corroding neutron-resistant metal|chemical pipelines, nuclear reactors, furnace bricks,abrasives, zircon gems|Solid|Primordial|4|5
Nb|Niobium|41|92,90638g/mol|8,58g/cm3|2468°C|4927°C|1801|Hatchet|high-melting-point non-corroding metal|chemical pipelines,superconductors, magnetic levitation trains, MRI magnets|Solid|Primordial|5|5
Mo|Molybdenum|42|95,94g/mol|10,28g/cm3|2617°C|5560°C|1778|Scheele|high-melting-point metal|hard steel,°Cutting tools,drill bits, armor plate, gun barrels, fertilizer|Solid|Primordial|6|5
Tc|Technetium|43|98,9063g/mol|11,49g/cm3|2172°C|5030°C|1937|PerrierandSegr |radioactive, long-lived|first human-made element,only traces on earth but found in stars, medical diagnostic tracer|Solid|Transient|7|5
Ru|Ruthenium|44|101,07g/mol|12,45g/cm3|2310°C|3900°C|1844|Claus|non-corroding hard metal|electric contacts, leaf switches, pen tips,°Catalyst,hydrogen production|Solid|Primordial|8|5
Rh|Rhodium|45|102,9055g/mol|12,41g/cm3|1966°C|3727°C|1803|Wollaston|non-corroding hard shiny metal|labware, reflectors,electric contacts,thermocouples,°Catalyst,pollution control|Solid|Primordial|9|5
Pd|Palladium|46|106,42g/mol|12,02g/cm3|1552°C|3140°C|1803|Wollaston|non-corroding hard metal, absorbs hydrogen|labware, electric contacts,dentistry,°Catalyst,pollution control|Solid|Primordial|10|5
Ag|Silver|47|107,8682g/mol|10,49g/cm3|961,9°C|2212°C|prehistoric|unknown|soft shiny metal, conducts electricity best of all elements|jewelry, silverware,°Coins,dentistry, photo film|Solid|Primordial|11|5
Cd|Cadmium|48|112,411g/mol|8,64g/cm3|321°C|765°C|1817|StromeyerandHermann|non-corroding soft metal, toxic|electroplated steel, nicad batteries, red and yellow paints, fire sprinklers|Solid|Primordial|12|5
In|Indium|49|114,82g/mol|7,31g/cm3|156,2°C|2080°C|1863|ReichandRichter|soft metal|solders, glass seals, glass coatings, liquid crystal displays (LCD),semiconductors, diodes,photocells|Solid|Primordial|13|5
Sn|Tin|50|118,71g/mol|7,29g/cm3|232°C|2270°C|prehistoric|unknown|non-corroding soft metal|solders, plated food cans,bronze (Cu-Sn), pewter cups, glassmaking, fire sprinklers|Solid|Primordial|14|5
Sb|Antimony|51|121,75g/mol|6,69g/cm3|630,7°C|1750°C|prehistoric|unknown|brittle metalloid|solders, lead hardener,batteries, bullet,semiconductors, photocells,matches, flame retardant|Solid|Primordial|15|5
Te|Tellurium|52|127,6g/mol|6,25g/cm3|449,6°C|990°C|1782|vonReichenstein|brittle metalloid|alloys, semiconductors,photocopiers,°Computer disk, thermo-electric coolers and generators|Solid|Primordial|16|5
I|Iodine|53|126,90447g/mol|4,94g/cm3|113,5°C|184,4°C|1811|Courtois|violet-black solid|disinfectant for wounds and drinking water, added to salt to prevent thyroid disease, photo film|Solid|Primordial|17|5
Xe|Xenon|54|131,29g/mol|4,49g/l|-111,9°C|-107°C|1898|RamsayandTravers|inert gas|high-intensity lamps,headlights, stadium lamps,projectors, strobes, lasers,spacecraft ion engines|Gas|Primordial|18|5
Cs|Caesium|55|132,90543g/mol|1,90g/cm3|28,4°C|690°C|1860|KirchhoffandBunsen|soft metal, melts on a hot day, reactive, largest stable atoms|atomic clocks, global navigation (GPS), vacuum tube scavenger|Solid|Primordial|1|6
Ba|Barium|56|137,327g/mol|3,65g/cm3|725°C|1640°C|1808|Davy|soft metal, absorbs X-rays|stomach X-ray contrast enhancer, green fireworks,whitener and filler for paper|Solid|Primordial|2|6
La|Lanthanum|57|138,9055g/mol|6,16g/cm3|920°C|3454°C|1839|Mosander|soft metal|optical glass, telescope eyepieces,°Camera lenses,lighter flints, arc lamps|Solid|Primordial|3|6
Ce|Cerium|58|140,115g/mol|6,77g/cm3|798°C|3257°C|1803|vonHisingerandBerzelius|soft metal|most abundant rare earth metal, lighter flints, arc lamps, gas lamp mantles,self-cleaning ovens, glass polishing|Solid|Primordial|3|6
Pr|Praseodymium|59|140,90765g/mol|6,48g/cm3|931°C|3212°C|1895|vonWelsbach|soft metal|torchworkers' didymium eyeglasses, lighter flints,arc lamps, magnets, yellow glass|Solid|Primordial|3|6
Nd|Neodymium|60|144,24g/mol|7,00g/cm3|1010°C|3127°C|1895|vonWelsbach|soft metal|strong magnets (Nd-Fe-B),electric motors, speakers and headphones, lasers,lighter flints|Solid|Primordial|3|6
Pm|Promethium|61|146,9151g/mol|7,22g/cm3|1080°C|2730°C|1945|MarinskyandGlendenin|radioactive, long-lived|human-made, small traces in nature, luminous dials,sheet thickness gauges|Solid|Transient|3|6
Sm|Samarium|62|150,36g/mol|7,54g/cm3|1072°C|1778°C|1879|LecoqdeBoisbaudran|soft metal|magnets (Sm-Co), electric motors, speakers and headphones, infrared sensors, infrared-absorbing glass|Solid|Primordial|3|6
Eu|Europium|63|151,965g/mol|5,25g/cm3|822°C|1597°C|1901|Dema ay|soft metal|phosphors in color TVs and trichromatic fluorescent lamps, luminous paint, lasers|Solid|Primordial|3|6
Gd|Gadolinium|64|157,25g/mol|7,89g/cm3|1311°C|3233°C|1880|deMarignac|soft metal, best neutron absorber, magnetic|magnetic resonance imaging (MRI) contrast enhancer,phosphors, neutron radiography|Solid|Primordial|3|6
Tb|Terbium|65|158,92534g/mol|8,25g/cm3|1360°C|3041°C|1843|Mosander|soft metal|"phosphors in color TVs and trichromatic fluorescent lamps,°Computer disks,magnetostrictive ""smart"" materials (Fe-Dy-Tb) (Terfenol-D )"|Solid|Primordial|3|6
Dy|Dysprosium|66|162,5g/mol|8,56g/cm3|1409°C|2335°C|1886|LecoqdeBoisbaudran|soft metal|"nuclear control rods, MRI phosphors,°Computer disks,magnetostrictive ""smart"" materials (Fe-Dy-Tb) (Terfenol-D )"|Solid|Primordial|3|6
Ho|Holmium|67|164,93032g/mol|8,78g/cm3|1470°C|2720°C|1878|Soret|soft metal|infrared lasers, laser surgery, eye-safe laser rangefinders,°Computer disks, yellow glass filters|Solid|Primordial|3|6
Er|Erbium|68|167,26g/mol|9,05g/cm3|1522°C|2510°C|1842|Mosander|soft metal|fiber optic signal amplifiers, infrared lasers,laser surgery, pink glass,sunglasses, vanadium alloys|Solid|Primordial|3|6
Tm|Thulium|69|168,93421g/mol|9,32g/cm3|1545°C|1727°C|1879|Cleve|soft metal|rarest stable rare earth metal, infrared lasers, laser surgery, phosphors|Solid|Primordial|3|6
Yb|Ytterbium|70|173,04g/mol|6,97g/cm3|824°C|1193°C|1878|deMarignac|soft metal|fiber optic signal amplifiers, infrared fiber lasers, stainless steel alloys|Solid|Primordial|3|6
Lu|Lutetium|71|174,967g/mol|9,84g/cm3|1656°C|3315°C|1907|Urbain|soft metal, densest and hardest rare earth metal|cancer-fighting photodynamic (light-activated) medicine|Solid|Primordial|3|6
Hf|Hafnium|72|178,49g/mol|13,31g/cm3|2150°C|5400°C|1923|Costerandv nHevesy|non-corroding metal, absorbs neutrons|nuclear reactor control rods in submarines, plasma torch electrodes|Solid|Primordial|4|6
Ta|Tantalum|73|180,9479g/mol|16,68g/cm3|2996°C|5425°C|1802|Ekeberg|high-melting-point non-corroding metal|labware, surgical tools,artificial joints,°Capacitors,mobile phones|Solid|Primordial|5|6
W|Tungsten|74|183,85g/mol|19,26g/cm3|3407°C|5927°C|1783|Gebr derdeElhuyar|highest-melting-point metal, dense|filaments in lamps and TVs,cutting tools, abrasives,thermocouples|Solid|Primordial|6|6
Re|Rhenium|75|186,207g/mol|21,03g/cm3|3180°C|5627°C|1925|Noddack,TackeandBerg|high-melting-point dense metal|rocket engines, heater coils, laboratory filaments,electric contacts,thermocouples,°Catalyst|Solid|Primordial|7|6
Os|Osmium|76|190,2g/mol|22,61g/cm3|3045°C|5027°C|1803|Tenant|non-corroding high-melting-point hard metal, densest element (same as Ir)|electric contacts, pen tips,needles, fingerprint powder|Solid|Primordial|8|6
Ir|Iridium|77|192,22g/mol|22,65g/cm3|2410°C|4130°C|1803|Tenantandandere|non-corroding hard metal, densest element (same as Os)|labware, spark plugs, pen tips, needles|Solid|Primordial|9|6
Pt|Platinum|78|195,08g/mol|21,45g/cm3|1772°C|3827°C|1557|Scaliger|non-corroding dense metal|labware, spark plugs,catalyst, pollution control,petroleum cracking,processing fats|Solid|Primordial|10|6
Au|Gold|79|196,96654g/mol|19,32g/cm3|1064,4°C|2940°C|prehistoric|unknown|most malleable element, dense non-tarnishing colored metal|jewelry,°Coins, ultra-thin gold leaf, electric contacts|Solid|Primordial|11|6
Hg|Mercury|80|200,59g/mol|13,55g/cm3|-38,9°C|356,6°C|prehistoric|unknown|liquid metal, toxic|thermometers, barometers,thermostats, street lamps,fluorescent lamps,dentistry|Liquid|Primordial|12|6
Tl|Thallium|81|204,3833g/mol|11,85g/cm3|303,6°C|1457°C|1861|Crookes|soft metal, toxic|low-melting-point mercury alloys, low-temperature thermometers, undersea lamps, photocells|Solid|Primordial|13|6
Pb|Lead|82|207,2g/mol|11,34g/cm3|327,5°C|1740°C|prehistoric|unknown|dense, soft, non-corroding metal, toxic|weights, solders, batteries,bullets,°Crystal glass, old plumbing, radiation shield|Solid|Primordial|14|6
Bi|Bismuth|83|208,98037g/mol|9,80g/cm3|271,4°C|1560°C|1540|Agricola|low melting point, brittle metal|solders, fuses, fire sprinklers (plugs melt when hot),°Cosmetics pigment|Solid|Primordial|15|6
Po|Polonium|84|208,9824g/mol|9,20g/cm3|254°C|962°C|1898|MarieandPierreCurie|radioactive, long-lived|first radioactive element found, small traces in nature, anti-static brushes,tobacco|Solid|Transient|16|6
At|Astatine|85|209,9871g/mol||302°C|337°C|1940|CorsonandMacKenzie|radioactive, short-lived|small traces in nature,cancer medicine|Solid|Transient|17|6
Rn|Radon|86|222,0176g/mol|9,23g/l|-71°C|-61,8°C|1900|Dorn|radioactive gas, short-lived|environmental hazard,surgical implants for cancer treatment|Gas|Transient|18|6
Fr|Francium|87|223,0197g/mol||27°C|677°C|1939|Perey|radioactive, short-lived, atoms larger than cesium|small traces in nature,studied in laser atom traps|Solid|Transient|1|7
Ra|Radium|88|226,0254g/mol|5,50g/cm3|700°C|1140°C|1898|MarieandPierreCurie|radioactive, long-lived|luminous watches (now banned), medical radon production, radiography,radwaste|Solid|Transient|2|7
Ac|Actinium|89|227,0278g/mol|10,07g/cm3|1047°C|3197°C|1899|Debierne|radioactive, long-lived|small traces in nature,cancer medicine, neutron source, radwaste|Solid|Transient|3|7
Th|Thorium|90|232,0381g/mol|11,72g/cm3|1750°C|4787°C|1829|Berzelius|radioactive, long-lived|most abundant radioactive element, nuclear reactor fuel, gas lamp mantles,tungsten filaments,radwaste|Solid|Primordial|3|7
Pa|Protactinium|91|231,0359g/mol|15,37g/cm3|1554°C|4030°C|1917|Soddy,CranstonandHahn|radioactive, long-lived|small traces in nature, no uses, radwaste|Solid|Transient|3|7
U|Uranium|92|238,0289g/mol|18,97g/cm3|1132,4°C|3818°C|1789|Klaproth|radioactive, long-lived, dense|nuclear reactor fuel,nuclear weapons,counterweights, armor-piercing bullets|Solid|Primordial|3|7
Np|Neptunium|93|237,0482g/mol|20,48g/cm3|640°C|3902°C|1940|McMillanandAbelson|radioactive, long-lived|small traces in nature,neutron detectors,dosimeters, possibly nuclear weapons, radwaste|Solid|Transient|3|7
Pu|Plutonium|94|244,0642g/mol|19,74g/cm3|641°C|3327°C|1940|Seaborg|radioactive, long-lived|small traces in nature,nuclear reactor fuel,nuclear weapons, radwaste|Solid|Primordial|3|7
Am|Americium|95|243,0614g/mol|13,67g/cm3|994°C|2607°C|1944|Seaborg|radioactive, long-lived|never found in nature,smoke detectors, sheet thickness gauges, radwaste|Solid|Synthetic|3|7
Cm|Curium|96|247,0703g/mol|13,51g/cm3|1340°C||1944|Seaborg|radioactive, long-lived|never found in nature,scientific instruments,mineral analyzers, radwaste|Solid|Synthetic|3|7
Bk|Berkelium|97|247,0703g/mol|13,25g/cm3|986°C||1949|Seaborg|radioactive, long-lived|never found in nature, no uses, radwaste|Solid|Synthetic|3|7
Cf|Californium|98|251,0796g/mol|15,1g/cm3|900°C||1950|Seaborg|radioactive, long-lived|never found in nature,scientific instruments,mineral analyzers, radwaste|Solid|Synthetic|3|7
Es|Einsteinium|99|252,0829g/mol||860°C||1952|Seaborg|radioactive, short-lived|never found in nature, no uses|Solid|Synthetic|3|7
Fm|Fermium|100|257,0951g/mol||||1952|Seaborg|radioactive, short-lived|never found in nature, no uses||Synthetic|3|7
Md|Mendelevium|101|258,0986g/mol||||1955|Seaborg|radioactive, short-lived|never found in nature, no uses||Synthetic|3|7
No|Nobelium|102|259,1009g/mol||||1958|Seaborg|radioactive, short-lived|never found in nature, no uses||Synthetic|3|7
Lr|Lawrencium|103|260,1053g/mol||||1961|Ghiorso|radioactive, short-lived|never found in nature, no uses||Synthetic|3|7
Rf|Rutherfordium|104|261,1087g/mol||||1964/69|FlerowoderGhiorso|radioactive, short-lived|never found in nature, no uses||Synthetic|4|7
Db|Dubnium|105|262,1138g/mol||||1967/70|FlerowoderGhiorso|radioactive, short-lived|never found in nature, no uses||Synthetic|5|7
Sg|Seaborgium|106|263,1182g/mol||||1974|Oganessian|radioactive, short-lived|never found in nature, no uses||Synthetic|6|7
Bh|Bohrium|107|262,1229g/mol||||1976|Oganessian|radioactive, short-lived|never found in nature, no uses||Synthetic|7|7
Hs|Hassium|108|265g/mol||||1984|SocietyforHeavyIonResearch|radioactive, short-lived|never found in nature, no uses||Synthetic|8|7
Mt|Meitnerium|109|266g/mol||||1982|SocietyforHeavyIonResearch|radioactive, short-lived|never found in nature, no uses||Synthetic|9|7
Ds|Darmstadtium|110|269g/mol||||1994|SocietyforHeavyIonResearch|radioactive, short-lived|never found in nature, no uses||Synthetic|10|7
Rg|Roentgenium|111|272g/mol||||1994|SocietyforHeavyIonResearch|radioactive, short-lived|never found in nature, no uses||Synthetic|11|7
Uub|Ununbium|112|277g/mol||||1996|SocietyforHeavyIonResearch|radioactive, short-lived|never found in nature, no uses||Synthetic|12|7
Uut|Ununtrium|113|||||||radioactive, short-lived|never found in nature, no uses||Synthetic|13|7
Uug|Ununquadium|114|||||||radioactive, short-lived|never found in nature, no uses||Synthetic|14|7
Uup|Ununpentium|115|||||||radioactive, short-lived|never found in nature, no uses||Synthetic|15|7
Uuh|Ununhexium|116|||||||radioactive, short-lived|never found in nature, no uses||Synthetic|16|7
Uus|Ununseptium|117|||||||radioactive, short-lived|never found in nature, no uses||Synthetic|17|7
Uuo|Ununoctium|118|||||||radioactive, short-lived|never found in nature, no uses||Synthetic|18|7
